Id,Start,Name,Impact,Currency
0f08b55c-2854-4dfc-9937-2e84b035511f,01/28/2019 13:30:00,"Chicago Fed National Activity Index ",MEDIUM,USD
9939a3b1-4b36-4880-9411-5f93ff04c88a,01/28/2019 14:00:00,ECB's President Draghi speech,HIGH,EUR
80a3a17f-5303-4c02-ba3a-6e5458317f4f,01/28/2019 16:00:00,ECB's President Draghi speech,HIGH,EUR
c653a5e8-3996-420a-bc13-e6145a8777d6,01/29/2019 14:00:00,S&P/Case-Shiller Home Price Indices (YoY),MEDIUM,USD
2fbaf02e-2433-47af-8709-72643c289947,01/29/2019 15:00:00,Consumer Confidence,MEDIUM,USD
b8481f16-4249-4c5f-bca0-ad1dc6908e88,01/30/2019 10:00:00,Business Climate,MEDIUM,EUR
6b821b87-1921-49fa-a21a-2a2d377c2521,01/30/2019 13:15:00,ADP Employment Change,MEDIUM,USD
32548a44-fc07-4b69-9b53-7fe004333993,01/30/2019 15:00:00,Pending Home Sales (MoM),MEDIUM,USD
c50e765b-3ac7-4871-99cf-4e4b49c0b766,01/30/2019 19:00:00,Fed Interest Rate Decision,HIGH,USD
48db0b5c-33ac-4f1f-942d-293c54fccf77,01/30/2019 19:00:00,Fed Monetary Policy Statement,HIGH,USD
b799a5fe-b4e2-435f-afe6-3dce55972dc7,01/30/2019 19:30:00,FOMC Press Conference,HIGH,USD
965487ea-efdf-4569-88da-679b100c85cd,01/31/2019 08:00:00,ECB's Cœuré speech,MEDIUM,EUR
a496e469-aaf3-4cc6-bf2f-29955bcab54c,01/31/2019 10:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
a77739de-c556-4a8e-9090-01bb835f2be2,01/31/2019 10:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
81e73555-a37b-45de-8856-c5ee315cb216,01/31/2019 10:00:00,Unemployment Rate,MEDIUM,EUR
89185480-c34f-42d4-aade-47230996828a,01/31/2019 10:15:00,ECB's Mersch speech,MEDIUM,EUR
7ab1790a-9d9c-4237-be97-08777e260c06,01/31/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
bda5f752-54ca-4028-9fbd-5b288ea2414a,01/31/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
58295a91-bb78-4a95-8995-3e0c989e350a,01/31/2019 14:45:00,Chicago Purchasing Managers' Index,MEDIUM,USD
4a6e41a4-8080-4b12-876d-07c2d9896318,01/31/2019 15:00:00,New Home Sales (MoM),MEDIUM,USD
1be0ae18-e87f-48c3-9fc1-f96b665707e2,02/01/2019 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
15207a89-b65b-45f8-9ec2-ea36d858a003,02/01/2019 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
124375e8-3a86-4b3c-92c2-dc2a0186c989,02/01/2019 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
980730c6-fe07-418e-a924-1df43b37683d,02/01/2019 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
d21be36b-8b6b-46df-9134-e575c107d03f,02/01/2019 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
212f5a9d-c87e-470d-b4fb-e87aed965c44,02/01/2019 13:30:00,Labor Force Participation Rate,MEDIUM,USD
b948aed3-35b6-4ab3-8db3-70cff5ef3e1e,02/01/2019 13:30:00,Nonfarm Payrolls,HIGH,USD
b80e497c-3b9b-4de4-8aab-9a931dbfdcb8,02/01/2019 13:30:00,Unemployment Rate,MEDIUM,USD
97091903-3734-4d71-972d-cb4921390a48,02/01/2019 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
b946665a-5716-428c-9ab4-4ec298a26431,02/01/2019 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
23b82f86-bb9b-4375-842b-97be527257de,02/01/2019 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
9f2b2d34-9070-4f59-b9fa-5044ebd6d2b5,02/01/2019 15:00:00,ISM Manufacturing PMI,HIGH,USD
020a5747-4696-4f29-b6fc-7f394f03c3b9,02/01/2019 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
1b3ba8aa-4dd0-4d25-afc9-91d1a3350d56,02/01/2019 15:00:00,Michigan Consumer Sentiment Index,MEDIUM,USD
5c67a92b-b998-4d17-b0c1-1faba8edd47b,02/01/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
4bc7a84f-7aa2-4146-8572-6e5f77a1ae49,02/04/2019 08:30:00,ECB's Mersch speech,MEDIUM,EUR
a990e3b9-a9a0-4802-9497-910dad300c91,02/04/2019 15:00:00,Durable Goods Orders ex Defense,HIGH,USD
1e89cd12-1e85-44af-b566-0966c044689f,02/04/2019 15:00:00,Factory Orders (MoM),MEDIUM,USD
3920a9cc-cdf6-4e5b-87d3-9815e8fff1b5,02/05/2019 00:30:00,Fed's Mester speech,MEDIUM,USD
af50898c-4054-475c-9f00-f0d14e70142e,02/05/2019 09:00:00,HCOB Composite PMI,MEDIUM,EUR
bcc40133-d483-4d99-b285-c245ff514c6e,02/05/2019 10:00:00,Retail Sales (YoY),MEDIUM,EUR
4c4afa17-e0dc-4569-82ab-a7fa335a8923,02/05/2019 14:45:00,S&P Global Composite PMI,MEDIUM,USD
e2cd2608-ef19-4ce7-a04a-de541377694b,02/05/2019 14:45:00,S&P Global Services PMI,MEDIUM,USD
07f547ca-752e-4a98-be94-8be2bc2b686b,02/05/2019 15:00:00,ISM Services Employment Index,MEDIUM,USD
7b40b204-fb42-43ff-90bf-2c2862771334,02/05/2019 15:00:00,ISM Services New Orders Index,MEDIUM,USD
80cbd0bc-afd6-4869-a243-221d2092e935,02/05/2019 15:00:00,ISM Services PMI,HIGH,USD
2040dbf9-a1f4-43b9-93a5-7d09de3e913c,02/05/2019 15:00:00,ISM Services Prices Paid,MEDIUM,USD
9a969a56-1a06-4029-a795-b9789a604c1c,02/06/2019 02:00:00,President Trump State of the Union address,MEDIUM,USD
1cd177a0-7bf6-4b67-9b90-b1d0eee222d6,02/06/2019 13:30:00,Goods and Services Trade Balance,MEDIUM,USD
6749eb9f-8742-4e2c-a18d-6d4860ed9a3d,02/06/2019 23:05:00,Fed's Quarles speech,MEDIUM,USD
cd5a98b3-afa6-43b3-b133-94b2b5e466fd,02/07/2019 00:00:00,Fed's Chair Powell speech,HIGH,USD
1acb2211-e14f-4d1a-ae05-f138f715c5a1,02/07/2019 09:00:00,Economic Bulletin,MEDIUM,EUR
d8cbe00a-0c17-4e0c-b477-7dc756a54bca,02/07/2019 10:00:00,European Commission releases Economic Growth Forecasts,MEDIUM,EUR
7a925d61-546c-4b84-bff1-2abef5b99d23,02/07/2019 12:15:00,ECB's Mersch speech,MEDIUM,EUR
a09c3e65-0e54-46d1-94c5-70f87c99782f,02/07/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
7657cfe1-1cd1-43ae-8a77-ee4de8f28984,02/07/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
fb7767ed-a667-4995-8dd4-79045ed9f26c,02/07/2019 14:15:00,Fed's Kaplan speech,MEDIUM,USD
f3bc9785-0222-46be-843c-43778b4a4f9b,02/07/2019 14:30:00,Fed's Clarida speech,MEDIUM,USD
8b790d0b-a402-46e9-9352-b034eebe62a0,02/08/2019 00:30:00,Fed's Bullard speech,MEDIUM,USD
2f565402-c11b-41e8-84ae-309cfa13fbe3,02/11/2019 00:00:00,Eurogroup Meeting,MEDIUM,EUR
2b104eae-dc2d-47be-88ea-856d41bc2889,02/11/2019 16:15:00,Fed's Bowman speech,MEDIUM,USD
07ae5969-6eec-445b-9585-1e81f40fa848,02/12/2019 00:00:00,EcoFin Meeting,MEDIUM,EUR
a71454fb-64f0-404b-afe5-4cb3327ec090,02/12/2019 16:45:00,Fed's Chair Powell speech,HIGH,USD
faa29335-6b33-4886-976c-159366b5ac22,02/12/2019 23:30:00,ECB's Lautenschläger speech,MEDIUM,EUR
a2207f93-8c84-4533-ae56-1d06083c163d,02/12/2019 23:30:00,Fed's Mester speech,MEDIUM,USD
a6c5a2cb-cd68-496a-bdff-726d2763566b,02/13/2019 10:00:00,Industrial Production s.a. (MoM),MEDIUM,EUR
1b3b610b-2f76-4a3e-be44-571cc7a205b6,02/13/2019 12:15:00,Fed's Bostic speech,MEDIUM,USD
eb49f41a-fefd-4286-b280-d3c43131b4d3,02/13/2019 13:30:00,Consumer Price Index (MoM),MEDIUM,USD
d8a63949-05b6-4da6-8683-a17c5631c2b2,02/13/2019 13:30:00,Consumer Price Index (YoY),MEDIUM,USD
ad29121d-e770-4df1-b02a-55b1ce05d004,02/13/2019 13:30:00,Consumer Price Index Core s.a,MEDIUM,USD
c332d7fc-f279-4119-84ec-da9f8fbe8354,02/13/2019 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
8203c91e-1708-48b3-a5e0-9d790295fdde,02/13/2019 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
b97ad88a-317c-4b23-8890-42ce91d24896,02/13/2019 13:50:00,Fed's Mester speech,MEDIUM,USD
f4e8d90f-ee1c-4675-a1db-65bfc2d4a2d3,02/13/2019 19:00:00,Monthly Budget Statement,MEDIUM,USD
85e3e3f0-40c4-4a98-93e8-fa7f6a9bd081,02/14/2019 10:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
ec57e63f-a417-4c4b-8ac3-f8a26d0695f1,02/14/2019 10:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
ccfaa088-1a1e-48b1-8bc8-d8800c2e406a,02/14/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
e7784526-1fb7-4d63-88b4-c8517f971b1d,02/14/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
3cd6a9cc-3ff9-43c7-b93b-4b5de25f9c30,02/14/2019 13:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
f7a60357-34f6-4fc7-9f54-d05a8fd5f9f1,02/14/2019 13:30:00,Retail Sales (MoM),MEDIUM,USD
762f327a-47d1-4123-9900-f6ef5e1a8d71,02/14/2019 13:30:00,Retail Sales Control Group,HIGH,USD
6d28b252-def0-49c2-97b7-b535feea0b96,02/14/2019 13:30:00,Retail Sales ex Autos (MoM),HIGH,USD
d8bd0354-d8ca-48de-abe2-c6faeb967fff,02/15/2019 13:00:00,ECB's Cœuré speech,MEDIUM,EUR
cd5ad08a-60c4-4d3b-b074-b9c0a65bbb69,02/15/2019 14:15:00,Industrial Production (MoM),MEDIUM,USD
e4fc99e0-9c65-49fb-8af7-b3970c3bd790,02/15/2019 14:55:00,Fed's Bostic speech,MEDIUM,USD
142d831a-cc70-42d2-aeed-381440526a39,02/15/2019 15:00:00,Michigan Consumer Sentiment Index,HIGH,USD
8e0aeae0-5d92-40c2-bc05-01002a5f1612,02/15/2019 15:30:00,President Trump speech,HIGH,USD
371f4d60-dca9-444c-b8a6-4cb6d9c6b901,02/19/2019 10:00:00,ZEW Survey – Economic Sentiment,MEDIUM,EUR
